[74]:HP(147),HA(267),HM(293),LM(347),LA(449),LP(2921)
[329]:HP(1320),HA(1663),HM(1683),LP(1799),LM(1831),LA(2178)
[1057]:HP(4595),HA(5709),HM(5869),LM(6481),LP(8714),LA(9317)
[244]:HP(929),HA(1207),HM(1238),LP(1346),LM(1348),LA(1554)
[250]:HP(961),HA(1202),HM(1272),LP(1430),LM(1430),LA(1648)
[373]:HP(1502),HA(1880),HM(1949),LP(2288),LA(2436),LM(2496)
[1969]:HP(3938),HA(7254),HM(7872),LM(13086),LA(17768),LP(1943401)
[1947]:HP(8998),HA(10983),HM(11342),LM(14576),LP(15926),LA(18134)
[1449]:HP(6429),HA(7917),HM(8233),LM(9963),LP(10717),LA(11566)
[1667]:HP(7529),HA(9326),HM(9596),LM(13092),LP(13885),LA(14239)
[1265]:HP(5552),HA(6880),HM(7074),LM(8950),LA(9932),LP(9995)
[348]:HP(1379),HA(1745),HM(1795),LP(1967),LM(2035),LA(2365)
[452]:HP(1863),HA(2324),HM(2424),LM(2715),LP(3026),LA(3411)
[1554]:HP(7033),HA(8631),HM(8813),LM(12053),LA(12820),LP(13220)
[1436]:HP(6365),HA(7901),HM(8125),LP(11189),LM(11456),LA(12549)
[1670]:HP(7582),HA(9285),HM(9544),LM(12728),LP(13613),LA(13982)
[112]:HP(405),LP(517),HA(522),HM(539),LM(552),LA(675)
[1825]:HP(8362),HA(10202),HM(10552),LM(13581),LP(15496),LA(15861)
[444]:HP(1808),HA(2261),HM(2344),LP(2691),LM(2798),LA(3261)
[1629]:HP(7325),HA(9009),HM(9319),LP(11504),LM(11935),LA(15953)
[1237]:HP(5487),HA(6770),HM(6994),LM(9216),LP(9423),LA(9748)
[242]:HP(483),HA(880),HM(965),LM(1256),LA(1617),LP(29885)
[1843]:HP(8359),HA(10251),HM(10533),LM(12566),LP(16081),LA(16750)
[56]:HP(185),HA(246),LM(252),HM(257),LP(287),LA(324)
[925]:HP(4048),HA(4945),HM(5136),LP(6507),LM(6731),LA(7247)
[1948]:HP(8959),HA(10886),HM(11275),LM(14124),LP(14933),LA(19080)
[1146]:HP(4985),HA(6188),HM(6456),LP(8475),LM(9336),LA(10749)
[1076]:HP(4693),HA(5838),HM(6033),LA(7783),LM(7824),LP(8699)
[1763]:HP(7931),HA(9810),HM(10151),LM(13600),LP(13877),LA(14242)
[1912]:HP(3824),HA(6999),HM(7645),LM(12846),LA(18444),LP(1832650)
[245]:HP(950),HA(1172),HM(1230),LM(1467),LA(1705),LP(1813)
[103]:HP(380),HA(462),LM(466),HM(492),LP(556),LA(622)
[771]:HP(3241),HA(4065),HM(4167),LM(5087),LA(5625),LP(6576)
[606]:HP(2538),HA(3198),HM(3261),LM(4016),LP(4062),LA(4386)
[1760]:HP(7977),HA(9850),HM(10195),LP(13214),LM(13499),LA(15691)
[1357]:HP(6052),HA(7476),HM(7680),LM(8856),LP(10092),LA(11702)
[485]:HP(969),HA(1792),HM(1937),LM(2757),LA(3440),LP(118823)
[654]:HP(2757),HA(3407),HM(3499),LM(3942),LP(4532),LA(6251)
[279]:HP(1098),HA(1359),HM(1414),LM(1589),LP(1837),LA(1862)
[804]:HP(3445),HA(4251),HM(4425),LM(5507),LP(5915),LA(6372)
[443]:HP(885),HA(1627),HM(1769),LM(2614),LA(3203),LP(99230)
[209]:HP(781),HA(1011),HM(1044),LM(1230),LP(1337),LA(1416)
[1834]:HP(8392),HA(10208),HM(10511),LP(13959),LM(14006),LA(16002)
[297]:HP(1188),HA(1479),HM(1538),LM(1622),LP(1803),LA(1830)
[1080]:HP(2160),HA(3962),HM(4317),LM(6788),LA(8747),LP(585898)
[792]:HP(3363),HA(4166),HM(4358),LP(4988),LM(5331),LA(6249)
[871]:HP(3771),HA(4719),HM(4835),LP(5557),LM(5950),LA(6925)
[957]:HP(4127),HA(5186),HM(5287),LM(6452),LP(6618),LA(8144)
[1089]:HP(4767),HA(5919),HM(6077),LM(7424),LP(7729),LA(8475)
[942]:HP(4020),HA(5027),HM(5200),LM(6476),LP(7048),LA(7082)
[719]:HP(2983),HA(3818),HM(3941),LA(4989),LM(5018),LP(5380)
[1003]:HP(4390),HA(5426),HM(5613),LM(6867),LP(7001),LA(7477)
[962]:HP(4152),HA(5164),HM(5308),LM(6751),LP(6881),LA(8217)
[477]:HP(1930),HA(2470),HM(2519),LM(2761),LP(3103),LA(3641)
[118]:HP(440),HA(559),HM(579),LM(659),LA(663),LP(695)
[1663]:HP(7460),HA(9256),HM(9510),LM(11935),LA(12640),LP(12976)
[1544]:HP(6870),HA(8465),HM(8805),LM(11109),LP(11927),LA(14483)
[1066]:HP(4630),HA(5731),HM(5932),LM(7115),LP(7845),LA(9046)
[808]:HP(3483),HA(4304),HM(4464),LM(5938),LP(6096),LA(6369)
[1919]:HP(8777),HA(10749),HM(11042),LM(15716),LP(16146),LA(16238)
[815]:HP(3500),HA(4319),HM(4517),LM(5566),LA(6100),LP(6708)
